fecha,85042,85044,85533,86067,85791,rainfall(mm)
20/11/2018,0,0,0,0,0,
02/12/2018,-0.2772,-0.028,-0.2218,-0.008,-0.042,141
14/12/2018,-0.017,-0.0395,-0.0149,-0.1263,-0.0333,32
26/12/2018,0.0347,-0.0732,-0.024,-0.4188,-0.0284,32
07/01/2019,-0.1019,0.1275,-0.094,0.1352,0.0608,32
19/01/2019,0.0064,0.2948,-0.0158,0.2241,0.1745,55.35
31/01/2019,0.255,0.4126,0.182,0.4441,0.3117,55.35
24/02/2019,0.328,0.4291,0.2081,0.3162,0.3278,55.35
08/03/2019,0.2522,0.3165,0.1892,0.6032,0.4049,83.64
20/03/2019,0.3765,0.4598,0.1513,0.442,0.2735,59.19
01/04/2019,0.2588,0.5333,0.209,0.4661,0.3568,59.19
13/04/2019,0.2464,0.2522,0.1251,0.384,0.2343,101.2
25/04/2019,0.2112,0.0376,0.0399,0.3239,0.0953,101.2
07/05/2019,-0.1031,0.0294,-0.2284,0.0271,-0.1722,101.2
19/05/2019,-0.0937,0.0175,-0.2453,0.1426,0.0077,62.73
31/05/2019,-0.2582,-0.0535,-0.3024,-0.2345,-0.2537,62.73
12/06/2019,0.0566,-0.0144,-0.2577,0.0672,-0.1828,62.73
06/07/2019,0.0376,0.035,-0.2896,-0.2213,-0.2087,39.4
23/08/2019,-0.12,0.0366,-0.4453,-0.2077,-0.3284,49.8
04/09/2019,-0.4827,-0.2126,-0.7106,-0.2928,-0.5865,28.53
16/09/2019,-0.0761,-0.159,-0.4288,-0.4623,-0.4806,11.8
28/09/2019,0.2552,0.1699,-0.2529,-0.2135,-0.2668,11.8
10/10/2019,0.1108,0.1057,-0.1825,-0.0873,-0.2538,11.8
22/10/2019,0.2018,-0.1487,0.134,-0.031,-0.0845,47.87
03/11/2019,0.1426,0.2267,-0.1639,-0.1328,-0.1423,47.87
15/11/2019,0.5479,0.4828,-0.0485,-0.1334,-0.0862,61.2
27/11/2019,0.535,0.5522,0.1656,0.0039,0.1149,61.2
09/12/2019,0.6275,0.6611,0.0929,-0.0296,0.1169,61.2
21/12/2019,0.1586,0.3307,-0.1052,-0.1749,-0.2147,148
02/01/2020,0.2866,0.383,-0.1719,-0.2674,-0.3342,148
14/01/2020,0.1346,0.2711,-0.3093,-0.4106,-0.4163,68.27
26/01/2020,0.2131,0.3382,-0.3201,-0.3399,-0.4838,68.27
07/02/2020,0.0017,0.4548,-0.5156,-0.5441,-0.5781,68.27
19/02/2020,0.1553,0.3357,-0.3633,-0.6595,-0.5163,109.73
02/03/2020,0.3857,0.6779,-0.1395,-0.4182,-0.2925,109.73
14/03/2020,0.2724,0.5994,-0.3692,-0.6939,-0.6635,48.67
26/03/2020,0.3367,0.6502,-0.3357,-0.5728,-0.7115,48.67
07/04/2020,0.3501,0.8221,-0.5193,-0.7898,-0.9194,48.67
19/04/2020,0.1974,0.6139,-0.4625,-0.6913,-0.8518,67.2
01/05/2020,0.2837,0.7139,-0.5098,-0.8082,-0.9536,67.2
13/05/2020,0.0401,0.536,-0.7169,-0.9214,-1.1618,29.6
25/05/2020,0.1916,0.5697,-0.6757,-0.9806,-1.2596,29.6
06/06/2020,0.1645,0.6004,-0.6902,-0.9126,-1.1716,29.6
18/06/2020,0.0834,0.5,-0.7766,-1.174,-1.2442,47.73
30/06/2020,-0.0743,0.2626,-0.9531,-1.2949,-1.5032,47.73
12/07/2020,-0.0852,0.3718,-1.0516,-1.3705,-1.5977,47.73
24/07/2020,0.0818,0.3982,-0.9454,-1.1477,-1.5035,48.93
05/08/2020,0.0459,0.4433,-0.908,-1.1795,-1.4692,48.93
17/08/2020,0.1012,0.7837,-1.0732,-1.2969,-1.5619,7
29/08/2020,0.1823,0.3472,-0.9644,-1.3346,-1.5706,7
10/09/2020,0.148,0.6657,-1.0406,-1.5738,-1.5542,7
22/09/2020,-0.0586,0.4957,-1.0259,-1.3837,-1.6211,47.53
04/10/2020,0.0698,0.6286,-1.1034,-1.5754,-1.663,47.53
16/10/2020,-0.0105,0.3987,-0.9529,-1.2762,-1.5982,17.93
28/10/2020,-0.0591,0.076,-1.1547,-1.3926,-1.8887,17.93
09/11/2020,0.4423,0.772,-0.8078,-1.0708,-1.474,17.93
21/11/2020,0.2251,0.4221,-0.8146,-1.1624,-1.425,46.27
03/12/2020,0.3692,0.68,-0.819,-0.9627,-1.2733,46.27
15/12/2020,0.1092,0.5979,-0.9811,-1.088,-1.4945,83.8
27/12/2020,0.3166,0.5878,-0.836,-1.0464,-1.4513,83.8
08/01/2021,0.0091,0.5414,-0.9715,-1.1328,-1.6737,83.8
20/01/2021,0.3599,0.5965,-0.5967,-0.7685,-1.401,55.73
01/02/2021,0.1258,0.6518,-0.6724,-0.869,-1.4625,55.73
13/02/2021,0.2588,0.5577,-0.8093,-0.8636,-1.3587,58.93
25/02/2021,0.3471,0.6626,-0.8588,-0.8923,-1.2998,58.93
09/03/2021,0.1438,0.7439,-1.0862,-0.9599,-1.5262,58.93
21/03/2021,0.3088,1.0474,-0.7829,-0.7864,-1.4244,213.47
02/04/2021,-0.2183,1.1107,-2.2385,-0.8619,-1.7865,213.47
14/04/2021,0.0287,1.6964,-0.8109,-0.5243,-0.8731,36.1
26/04/2021,-0.2277,1.6427,-1.3972,-0.9123,-1.6664,36.1
,0.0711,1.7403,-0.7679,-0.564,-1.7046,36.1
